fecha;casos_total;total_test;fallecimientos;ingresos_uci;hospitalizados
03/10/2021;4961128;59821272;86463;635;1724
04/10/2021;4965399;59932083;86527;602;1670
05/10/2021;4967200;60041836;86621;574;1620
06/10/2021;4969503;60147603;86678;550;1534
07/10/2021;4971310;60236640;86701;535;1466
08/10/2021;4973619;60318450;86778;530;1435
09/10/2021;4973619;60362874;86778;526;1439
10/10/2021;4973619;60394761;86778;504;1430
11/10/2021;4977448;60487687;86827;478;1340
12/10/2021;4977448;60537038;86827;485;1391
13/10/2021;4980206;60647033;86869;450;1397
14/10/2021;4982138;60746364;86917;443;1392
15/10/2021;4984386;60840922;86974;437;1373
16/10/2021;4984386;60894909;86974;435;1387
17/10/2021;4984386;60933480;86974;444;1401
18/10/2021;4988878;61038139;87030;432;1412
19/10/2021;4990767;61143940;87051;447;1379
20/10/2021;4993295;61242244;87082;434;1309
21/10/2021;4995176;61329869;87102;435;1295
22/10/2021;4997732;61419411;87132;436;1272
23/10/2021;4997732;61470783;87132;434;1275
24/10/2021;4997732;61508696;87132;430;1355
25/10/2021;5002217;61610324;87186;430;1305
26/10/2021;5004143;61715114;87238;420;1270
27/10/2021;5006675;61816043;87289;413;1235
